,raw,char,line
0,Script: Part 1,Script,Part 1
1,SCENE: The woods surrounding the Hammond house.,SCENE,The woods surrounding the Hammond house.
2,"ANNE: [reciting lines 10-18, 34-36, 37-45 from Lord Alfred Tennyson's  The Lady of Shalott] ",ANNE,"[reciting lines 10-18, 34-36, 37-45 from Lord Alfred Tennyson's  The Lady of Shalott] "
3,"Willows whiten, aspens quiver,","Willows whiten, aspens quiver,",
4,Little breezes dusk and shiver,Little breezes dusk and shiver,
5,Thro' the wave that runs forever,Thro' the wave that runs forever,
6,By the island in the river,By the island in the river,
7,    Flowing down to Camelot.,    Flowing down to Camelot.,
8,"Four grey walls, and four grey towers,","Four grey walls, and four grey towers,",
9,"Overlook a space of flowers,","Overlook a space of flowers,",
10,And the silent isle imbowers,And the silent isle imbowers,
11,    The Lady of Shalott.,    The Lady of Shalott.,
12,"Piling sheaves in uplands airy,","Piling sheaves in uplands airy,",
13,"Listening, whispers ""'Tis the fairy","Listening, whispers ""'Tis the fairy",
14,"    Lady of Shalott."" ","    Lady of Shalott."" ",
15,There she weaves by night and day,There she weaves by night and day,
16,A magic web with colours gay.,A magic web with colours gay.,
17,She has heard a whisper say,She has heard a whisper say,
18,A curse is on her if she stay,A curse is on her if she stay,
19,    To look down [on] Camelot.,    To look down [on] Camelot.,
20,"She knows not what the curse may be,","She knows not what the curse may be,",
21,"And so she weaveth steadily,","And so she weaveth steadily,",
22,"And little other care hath she,","And little other care hath she,",
23,    The Lady of Shalott.,    The Lady of Shalott.,
24,MRS. HAMMOND: Anne!  Anne!,MRS. HAMMOND,Anne!  Anne!
25,ANNE: Coming Mrs. Hammond!,ANNE,Coming Mrs. Hammond!
26,"MRS. HAMMOND: Anne!  Anne Shirley get in here this instant! [to child] It's alright honey.  [to Anne] Go on, git, git!  Watch it you sloppy girl, that comes right out of my babyies' mouthes.",MRS. HAMMOND,"Anne!  Anne Shirley get in here this instant! [to child] It's alright honey.  [to Anne] Go on, git, git!  Watch it you sloppy girl, that comes right out of my babyies' mouthes."
27,"ANNE: I'm sorry, Mrs. Hammond, but I was rushing so and it's quite heavy.  That'll be my share so there won't be any less for the children.",ANNE,"I'm sorry, Mrs. Hammond, but I was rushing so and it's quite heavy.  That'll be my share so there won't be any less for the children."
28,"MRS. HAMMOND: Oh, here, just take them and clean them up.  Well, if you'd pay more attention to your chores instead of pouring over them fool books of yours.",MRS. HAMMOND,"Oh, here, just take them and clean them up.  Well, if you'd pay more attention to your chores instead of pouring over them fool books of yours."
29,ANNE: Please!  I won't do it again.  It was just so thrilling I couldn't put it down.,ANNE,Please!  I won't do it again.  It was just so thrilling I couldn't put it down.
30,"MRS. HAMMOND: Oh, you darn well won't do it again.  And if I catch you reading any more of them books of yours while you're supposed to be looking after my youngens, they'll feed the fire too, missy.  Well, don't just stand there looking daft!  Finish changing Meg and Peter!  Mr. Hammond and the men been waiting well nigh an hour for their lunch while you've been dawdling.",MRS. HAMMOND,"Oh, you darn well won't do it again.  And if I catch you reading any more of them books of yours while you're supposed to be looking after my youngens, they'll feed the fire too, missy.  Well, don't just stand there looking daft!  Finish changing Meg and Peter!  Mr. Hammond and the men been waiting well nigh an hour for their lunch while you've been dawdling."
31,"ANNE: I enjoy babies in moderation, Mrs. Hammond, but twins three times in succession is too much.",ANNE,"I enjoy babies in moderation, Mrs. Hammond, but twins three times in succession is too much."
32,MRS. HAMMOND: What?,MRS. HAMMOND,What?
33,ANNE:  I simply couldn't live here if I hadn't any imagination.,ANNE, I simply couldn't live here if I hadn't any imagination.
34,"MRS. HAMMOND: I'll take none of your cheek, Anne Shirley.  Believe you me, you'll be out on your backside if I get another word out of you.  Oh, go on.  Git going to the mill before Mr. Hammond takes a whipping for you.  Git! [to children] Eat!",MRS. HAMMOND,"I'll take none of your cheek, Anne Shirley.  Believe you me, you'll be out on your backside if I get another word out of you.  Oh, go on.  Git going to the mill before Mr. Hammond takes a whipping for you.  Git! [to children] Eat!"
35,SCENE: The Hammond Mill.,SCENE,The Hammond Mill.
36,MR. HAMMOND: Not those goll-darn planks!,MR. HAMMOND,Not those goll-darn planks!
37,TOM: What's the matter?,TOM,What's the matter?
38,"MR. HAMMOND: Not that junk, idiot!",MR. HAMMOND,"Not that junk, idiot!"
39,TOM: Cut it out! [to others] Help! Get out here!,TOM,Cut it out! [to others] Help! Get out here!
40,"ANNE: What happened, Tom?",ANNE,"What happened, Tom?"
41,TOM: He's been in a temper over lunch.  Screaming and swearing -- you know how he gets.  He wouldn't stop.,TOM,He's been in a temper over lunch.  Screaming and swearing -- you know how he gets.  He wouldn't stop.
42,ANNE: Someone take the wagon and go for the doctor.,ANNE,Someone take the wagon and go for the doctor.
43,TOM: He won't be needing no doctor.,TOM,He won't be needing no doctor.
44,SCENE: The Hammond house.,SCENE,The Hammond house.
45,"ANNE: Katie, I know you understand.  If I hadn't lost myself in the beauty of the day, the only beauty which has now deceived me, poor Mr. Hammond might still be with us.",ANNE,"Katie, I know you understand.  If I hadn't lost myself in the beauty of the day, the only beauty which has now deceived me, poor Mr. Hammond might still be with us."
46,"WOMAN: There, there Nora.  He led a good life.  You have to think about yourself and your youngens now.  Sell the mill and come and live with me.  And what about the girl?  She's a home child, isn't she?",WOMAN,"There, there Nora.  He led a good life.  You have to think about yourself and your youngens now.  Sell the mill and come and live with me.  And what about the girl?  She's a home child, isn't she?"
47,MRS. HAMMOND: Yes.,MRS. HAMMOND,Yes.
48,WOMAN: She'll have to go back to the orphanage.,WOMAN,She'll have to go back to the orphanage.
49,"ANNE: Mrs. Hammond, you must know how much I want to be of help to you in your time of trial.  I consider it a burden I must bear.",ANNE,"Mrs. Hammond, you must know how much I want to be of help to you in your time of trial.  I consider it a burden I must bear."
50,MRS. HAMMOND: I was daft when I took you in.  It's all your doing.  None but yours.,MRS. HAMMOND,I was daft when I took you in.  It's all your doing.  None but yours.
51,"ANNE: I blame myself entirely, Mrs. Hammond.  To have to wait and extra hour for lunch is a terrible burden on any man.  I shall never overcome my grief.  But going back to an orphanage would be more than I can bear.  I beg of you, Mrs. Hammond, please let me stay with you.",ANNE,"I blame myself entirely, Mrs. Hammond.  To have to wait and extra hour for lunch is a terrible burden on any man.  I shall never overcome my grief.  But going back to an orphanage would be more than I can bear.  I beg of you, Mrs. Hammond, please let me stay with you."
52,WOMAN: Orphan children are all the same -- trash.,WOMAN,Orphan children are all the same -- trash.
53,"MRS. HAMMOND: Trash.  That's right, Anne Shirley.  Poor, miserable trash that don't deserve no better.",MRS. HAMMOND,"Trash.  That's right, Anne Shirley.  Poor, miserable trash that don't deserve no better."
54,SCENE: The Fairview Orphanage.,SCENE,The Fairview Orphanage.
55,"NURSE: Mrs. Hammond, Ma'am.",NURSE,"Mrs. Hammond, Ma'am."
56,MRS. CADBURY: Mrs. Hammond.  I sent a reply to your letter just this morning.  I'm afraid we cannot take the girl.  We're overcrowded as it is.,MRS. CADBURY,Mrs. Hammond.  I sent a reply to your letter just this morning.  I'm afraid we cannot take the girl.  We're overcrowded as it is.
57,"MRS. HAMMOND: But I've already had to divide my own sweet babies among my relatives, Ma'am.  She ain't my responsibility no more.  You have to take her.",MRS. HAMMOND,"But I've already had to divide my own sweet babies among my relatives, Ma'am.  She ain't my responsibility no more.  You have to take her."
58,"MRS. CADBURY: Come here, child.  Tell me what you know about yourself.",MRS. CADBURY,"Come here, child.  Tell me what you know about yourself."
59,"ANNE: Well, it really isn't worth telling, Mrs. Cadbury.  But if you let me tell you what I imagine about myself, you'd find it a lot more interesting.",ANNE,"Well, it really isn't worth telling, Mrs. Cadbury.  But if you let me tell you what I imagine about myself, you'd find it a lot more interesting."
60,"MRS. HAMMOND: Uh, she was, uh, twelve last March, Ma'am.  Uh, born in Halifax.  Both parents died of the fever when she was just three months.  I took her in from a neighbor last year to help out with the youngens, but she's been in and out of orphanages ever since she was a wee thing, and she's not too proud for here.",MRS. HAMMOND,"Uh, she was, uh, twelve last March, Ma'am.  Uh, born in Halifax.  Both parents died of the fever when she was just three months.  I took her in from a neighbor last year to help out with the youngens, but she's been in and out of orphanages ever since she was a wee thing, and she's not too proud for here."
61,MRS. CADBURY: And what were your parents' names?,MRS. CADBURY,And what were your parents' names?
62,"ANNE: Walter and Bertha Shirley.  Aren't they lovely names?  I'm proud they had such nice names.  It would be a disgrace to have a father called, well, Hezekiah.",ANNE,"Walter and Bertha Shirley.  Aren't they lovely names?  I'm proud they had such nice names.  It would be a disgrace to have a father called, well, Hezekiah."
63,"MRS. CADBURY: Doesn't matter what a person's name is, as long as they behave themselves.",MRS. CADBURY,"Doesn't matter what a person's name is, as long as they behave themselves."
64,"ANNE: Well, I don't know.  I read in a book once that a rose by any other name would smell as sweet, but I was never able to believe it.  A rose just couldn't smell as sweet if it was a thistle or a skunk-cabbage.",ANNE,"Well, I don't know.  I read in a book once that a rose by any other name would smell as sweet, but I was never able to believe it.  A rose just couldn't smell as sweet if it was a thistle or a skunk-cabbage."
65,"MRS. HAMMOND: I don't know where she picks up them fool ideas, but she's a bright little thing, ain't she?  And she won't be no trouble to you, I can promise you that.  Well, this is a real Christian place you folks is running here and I sure am grateful to you for helping me out of this predicament.",MRS. HAMMOND,"I don't know where she picks up them fool ideas, but she's a bright little thing, ain't she?  And she won't be no trouble to you, I can promise you that.  Well, this is a real Christian place you folks is running here and I sure am grateful to you for helping me out of this predicament."
66,"MRS. CADBURY: Now, Mrs. Hammond, wait a minute.  Mrs. Hammond!  We can't take her for at least another month!  There are papers to be signed!",MRS. CADBURY,"Now, Mrs. Hammond, wait a minute.  Mrs. Hammond!  We can't take her for at least another month!  There are papers to be signed!"
67,"MRS. HAMMOND: Lady, I got a train to catch.",MRS. HAMMOND,"Lady, I got a train to catch."
68,SCENE: Bedroom in the orphanage.,SCENE,Bedroom in the orphanage.
69,"ANNE: Katie, I'm glad we have each other.  It's so difficult finding a kindred spirit these days.",ANNE,"Katie, I'm glad we have each other.  It's so difficult finding a kindred spirit these days."
70,"MRS. CADBURY: Anne Shirley, get undressed at once.  Have you no respect for rules and regulations.",MRS. CADBURY,"Anne Shirley, get undressed at once.  Have you no respect for rules and regulations."
71,"ANNE: I'm sorry, Mrs. Cadbury, but I wasn't paying attention.",ANNE,"I'm sorry, Mrs. Cadbury, but I wasn't paying attention."
72,MRS. CADBURY: You haven't been paying attention for the past six months.,MRS. CADBURY,You haven't been paying attention for the past six months.
73,"ANNE: Oh, I know I'll improve.  It's just that my life is perfect graveyard of buried hopes, now.  That's a sentence I read once and I say it over to comfort myself in these times that try the soul.",ANNE,"Oh, I know I'll improve.  It's just that my life is perfect graveyard of buried hopes, now.  That's a sentence I read once and I say it over to comfort myself in these times that try the soul."
74,MRS. CADBURY: I've had a request for two of our girls to live with families in Prince Edward Island.  And I've decided that you will be one of them.,MRS. CADBURY,I've had a request for two of our girls to live with families in Prince Edward Island.  And I've decided that you will be one of them.
75,"ANNE: Oh, thank you, Mrs. Cadbury.  Thank you with all my heart.",ANNE,"Oh, thank you, Mrs. Cadbury.  Thank you with all my heart."
76,"MRS. CADBURY: I've no wish to reward rebelliousness, but for good of discipline it seems that I must.  Perhaps this new family of yours can shatter this dream world you that you live in.  Now, get into your nightgown and go to bed.",MRS. CADBURY,"I've no wish to reward rebelliousness, but for good of discipline it seems that I must.  Perhaps this new family of yours can shatter this dream world you that you live in.  Now, get into your nightgown and go to bed."
77,SCENE: The Bright River train station.,SCENE,The Bright River train station.
78,"STATION MASTER: Are you waiting for someone, Miss?",STATION MASTER,"Are you waiting for someone, Miss?"
79,"ANNE: I am, thank you.",ANNE,"I am, thank you."
80,STATION MASTER: Would you prefer to sit in the ladies' waiting room?,STATION MASTER,Would you prefer to sit in the ladies' waiting room?
81,"ANNE: No, I prefer to sit here.  There's so much more scope for the imagination.  Thank you just the same.",ANNE,"No, I prefer to sit here.  There's so much more scope for the imagination.  Thank you just the same."
82,"STATION MASTER: As you like, Miss.",STATION MASTER,"As you like, Miss."
83,SCENE: The Lynde house.,SCENE,The Lynde house.
84,RACHEL: Thomas!  Isn't that Matthew Cuthbert driving that buggy?,RACHEL,Thomas!  Isn't that Matthew Cuthbert driving that buggy?
85,THOMAS LYNDE: Appears to be.,THOMAS LYNDE,Appears to be.
86,"RACHEL: Well, he never goes to town this time of year, and he never wears a suit except in church.",RACHEL,"Well, he never goes to town this time of year, and he never wears a suit except in church."
87,THOMAS LYNDE: Maybe he's going courting.,THOMAS LYNDE,Maybe he's going courting.
88,"RACHEL: Don't be so utterly ridiculous, Thomas.  He's not going fast enough for a doctor.   Oh, my afternoon is spoiled!  I won't have a moments peace until I know what that man is up to.  Wearing his suit.  Marilla is simply going to have to explain all this.",RACHEL,"Don't be so utterly ridiculous, Thomas.  He's not going fast enough for a doctor.   Oh, my afternoon is spoiled!  I won't have a moments peace until I know what that man is up to.  Wearing his suit.  Marilla is simply going to have to explain all this."
89,SCENE: The Cuthbert kitchen.,SCENE,The Cuthbert kitchen.
90,"RACHEL: You, who.  Marilla.",RACHEL,"You, who.  Marilla."
91,"MARILLA: Ah, Rachel, good morning.  And how are all the Lyndes?",MARILLA,"Ah, Rachel, good morning.  And how are all the Lyndes?"
92,"RACHEL: Oh, we're alright as rain, Marilla, but I was kind of worried about you when I saw your brother drive by just now.",RACHEL,"Oh, we're alright as rain, Marilla, but I was kind of worried about you when I saw your brother drive by just now."
93,"MARILLA: Oh, I'm fine.  Just fine.  Appreciate the concern.",MARILLA,"Oh, I'm fine.  Just fine.  Appreciate the concern."
94,RACHEL: But he was in his suit and smoking his pipe.,RACHEL,But he was in his suit and smoking his pipe.
95,"MARILLA: Well, I don't mind so long as he smokes his pipe in the great outdoors and not in my kitchen.",MARILLA,"Well, I don't mind so long as he smokes his pipe in the great outdoors and not in my kitchen."
96,RACHEL: He was in his suit.,RACHEL,He was in his suit.
97,"MARILLA: Yes, Rachel.",MARILLA,"Yes, Rachel."
98,"RACHEL: Well, Matthew never goes to town this time of year.",RACHEL,"Well, Matthew never goes to town this time of year."
99,MARILLA: Matthew wasn't going to town.,MARILLA,Matthew wasn't going to town.
100,"RACHEL: Oh, don't keep me in such suspense.",RACHEL,"Oh, don't keep me in such suspense."
101,"MARILLA: He was going to Bright River.  We're getting a little boy from an orphanage in Nova Scotia, and he's coming in on the afternoon train.",MARILLA,"He was going to Bright River.  We're getting a little boy from an orphanage in Nova Scotia, and he's coming in on the afternoon train."
102,"RACHEL:  A boy!  You can't be serious.  Well, you don't know anything about raising children.  Whatever put such an idea into your head?",RACHEL," A boy!  You can't be serious.  Well, you don't know anything about raising children.  Whatever put such an idea into your head?"
103,"MARILLA: Well, Matthew's getting along in years.  He's not as spry as he once was and his heart bothers him greatly.  Mrs. Spencer was up here before Christmas and said she was getting a little girl from the Hopeton Asylum in the spring.  Matthew and I gave it good consideration.  So, we sent word to her by her niece, Roberta, tell her to bring us a boy home while she was at it.",MARILLA,"Well, Matthew's getting along in years.  He's not as spry as he once was and his heart bothers him greatly.  Mrs. Spencer was up here before Christmas and said she was getting a little girl from the Hopeton Asylum in the spring.  Matthew and I gave it good consideration.  So, we sent word to her by her niece, Roberta, tell her to bring us a boy home while she was at it."
104,RACHEL: I shall be surprised at nothing after this.  Nothing.,RACHEL,I shall be surprised at nothing after this.  Nothing.
105,"MARILLA: We told her to fix us up with a little boy, eleven or twelve; old enough to do the chores, and young enough to be brought up properly.",MARILLA,"We told her to fix us up with a little boy, eleven or twelve; old enough to do the chores, and young enough to be brought up properly."
106,"RACHEL: You know I pride myself on speaking my mind.  And let me tell you, I think you are doing a mighty risky thing.  I wish you'd consulted me first.  Well, it was just last week, I read in the paper where a couple took a boy from an orphan asylum and he set fire to their house at night, on purpose.  Burnt them to a crisp in their beds.",RACHEL,"You know I pride myself on speaking my mind.  And let me tell you, I think you are doing a mighty risky thing.  I wish you'd consulted me first.  Well, it was just last week, I read in the paper where a couple took a boy from an orphan asylum and he set fire to their house at night, on purpose.  Burnt them to a crisp in their beds."
107,"MARILLA: Well, I won't say that I haven't had my qualms, Rachel.  But Matthew was so terrible determined and it's so seldom that he sets his mind on anything that I felt I had to give in.",MARILLA,"Well, I won't say that I haven't had my qualms, Rachel.  But Matthew was so terrible determined and it's so seldom that he sets his mind on anything that I felt I had to give in."
108,"RACHEL: And there was another case, six months ago over in New Brunswick, where an asylum child put strychnine in the well and the entire family died, in agony.  Only, it was a girl in that instance.",RACHEL,"And there was another case, six months ago over in New Brunswick, where an asylum child put strychnine in the well and the entire family died, in agony.  Only, it was a girl in that instance."
109,"MARILLA: Well, we are not getting a girl.",MARILLA,"Well, we are not getting a girl."
110,SCENE: The Bright River train station.,SCENE,The Bright River train station.
111,MATTHEW: Woap.,MATTHEW,Woap.
112,"STATION MASTER: Oh, how do, Matthew?",STATION MASTER,"Oh, how do, Matthew?"
113,"MATTHEW: Hello, Angus.  Is the afternoon train due soon?",MATTHEW,"Hello, Angus.  Is the afternoon train due soon?"
114,"STATION MASTER: Well, been and gone a half an hour ago.  There was a passenger dropped off for you.  She's waiting for you on the platform.",STATION MASTER,"Well, been and gone a half an hour ago.  There was a passenger dropped off for you.  She's waiting for you on the platform."
115,MATTHEW: She?,MATTHEW,She?
116,"STATION MASTER: Not to worry, Matthew.  I don't think she bites.",STATION MASTER,"Not to worry, Matthew.  I don't think she bites."
117,"MATTHEW: Well, it's a boy I've come for.",MATTHEW,"Well, it's a boy I've come for."
118,"STATION MASTER: Oh, she won't have any trouble explaining.  She has a tongue of her own.",STATION MASTER,"Oh, she won't have any trouble explaining.  She has a tongue of her own."
